#Aliases,Attributes Name Verified
Attack_not_cancel_charge,Attack not cancel charge
Blast_radius_decreased,Blast radius decreased
Blast_radius_increased,Blast radius increased
CARD:_damage_bonus,CARD: damage bonus
CARD:_dmg_taken_from_bullets_reduced,CARD: dmg taken from bullets reduced
CARD:_health_regen,CARD: health regen
CARD:_move_speed_bonus,CARD: move speed bonus
Construction_rate_decreased,Construction rate decreased
Construction_rate_increased,Construction rate increased
Halloween_Spellbook_Page:_Audere,Halloween Spellbook Page: Audere
Halloween_Spellbook_Page:_Congeriae,Halloween Spellbook Page: Congeriae
Halloween_Spellbook_Page:_Gratanter,Halloween Spellbook Page: Gratanter
Halloween_Spellbook_Page:_Tumidum,Halloween Spellbook Page: Tumidum
Halloween_Spellbook_Page:_Veteris,Halloween Spellbook Page: Veteris
NoCloakWhenCloaked,NoCloakWhenCloaked
Projectile_range_decreased,Projectile range decreased
Projectile_range_increased,Projectile range increased
Projectile_speed_decreased,Projectile speed decreased
Projectile_speed_increased,Projectile speed increased
Projectile_speed_increased_HIDDEN,Projectile speed increased HIDDEN
ReducedCloakFromAmmo,ReducedCloakFromAmmo
Reload_time_decreased,Reload time decreased
Reload_time_increased,Reload time increased
Repair_rate_decreased,Repair rate decreased
Repair_rate_increased,Repair rate increased
SET_BONUS:_alien_isolation_merc_bonus_neg,SET BONUS: alien isolation merc bonus neg
SET_BONUS:_alien_isolation_merc_bonus_pos,SET BONUS: alien isolation merc bonus pos
SET_BONUS:_alien_isolation_xeno_bonus_neg,SET BONUS: alien isolation xeno bonus neg
SET_BONUS:_alien_isolation_xeno_bonus_pos,SET BONUS: alien isolation xeno bonus pos
SET_BONUS:_calling_card_on_kill,SET BONUS: calling card on kill
SET_BONUS:_chance_of_hunger_decrease,SET BONUS: chance of hunger decrease
SET_BONUS:_cloak_blink_time_penalty,SET BONUS: cloak blink time penalty
SET_BONUS:_custom_taunt_particle_attr,SET BONUS: custom taunt particle attr
SET_BONUS:_dmg_from_sentry_reduced,SET BONUS: dmg from sentry reduced
SET_BONUS:_dmg_taken_from_bullets_increased,SET BONUS: dmg taken from bullets increased
SET_BONUS:_dmg_taken_from_crit_reduced_set_bonus,SET BONUS: dmg taken from crit reduced set bonus
SET_BONUS:_dmg_taken_from_fire_reduced_set_bonus,SET BONUS: dmg taken from fire reduced set bonus
SET_BONUS:_health_regen_set_bonus,SET BONUS: health regen set bonus
SET_BONUS:_max_health_additive_bonus,SET BONUS: max health additive bonus
SET_BONUS:_move_speed_set_bonus,SET BONUS: move speed set bonus
SET_BONUS:_mystery_solving_time_decrease,SET BONUS: mystery solving time decrease
SET_BONUS:_no_death_from_headshots,SET BONUS: no death from headshots
SET_BONUS:_quiet_unstealth,SET BONUS: quiet unstealth
SET_BONUS:_special_dsp,SET BONUS: special dsp
SPELL:_Halloween_death_ghosts,SPELL: Halloween death ghosts
SPELL:_Halloween_green_flames,SPELL: Halloween green flames
SPELL:_Halloween_pumpkin_explosions,SPELL: Halloween pumpkin explosions
SPELL:_Halloween_voice_modulation,SPELL: Halloween voice modulation
SPELL:_set_Halloween_footstep_type,SPELL: set Halloween footstep type
SPELL:_set_item_tint_RGB,SPELL: set item tint RGB
SRifle_Charge_rate_decreased,SRifle Charge rate decreased
SRifle_Charge_rate_increased,SRifle Charge rate increased
Set_DamageType_Ignite,Set DamageType Ignite
Wrench_index,Wrench index
absorb_damage_while_cloaked,absorb damage while cloaked
accepted_wedding_ring_account_id_1,accepted wedding ring account id 1
accepted_wedding_ring_account_id_2,accepted wedding ring account id 2
accuracy_scales_damage,accuracy scales damage
active_health_degen,active health degen
active_health_regen,active health regen
add_cloak_on_hit,add cloak on hit
add_cloak_on_kill,add cloak on kill
add_head_on_hit,add head on hit
add_jingle_to_footsteps,add jingle to footsteps
add_onhit_addammo,add onhit addammo
add_uber_charge_on_hit,add uber charge on hit
add_head_on_kill,add_head_on_kill
additional_halloween_response_criteria_name,additional halloween response criteria name
afterburn_duration_bonus,afterburn duration bonus
afterburn_duration_penalty,afterburn duration penalty
afterburn_immunity,afterburn immunity
aiming_knockback_resistance,aiming knockback resistance
aiming_movespeed_decreased,aiming movespeed decreased
aiming_movespeed_increased,aiming movespeed increased
aiming_no_flinch,aiming no flinch
air_dash_count,air dash count
air_jump_on_attack,air jump on attack
airblast_cost_decreased,airblast cost decreased
airblast_cost_increased,airblast cost increased
airblast_cost_scale_hidden,airblast cost scale hidden
airblast_disabled,airblast disabled
airblast_pushback_scale,airblast pushback scale
airblast_vertical_pushback_scale,airblast vertical pushback scale
airblast_vertical_vulnerability_multiplier,airblast vertical vulnerability multiplier
airblast_vulnerability_multiplier,airblast vulnerability multiplier
airblast_vulnerability_multiplier_hidden,airblast vulnerability multiplier hidden
airblast_deflect_projectiles_disabled,airblast_deflect_projectiles_disabled
airblast_destroy_projectile,airblast_destroy_projectile
airblast_give_teammate_speed_boost,airblast_give_teammate_speed_boost
airblast_pushback_disabled,airblast_pushback_disabled
airblast_pushback_no_stun,airblast_pushback_no_stun
airblast_pushback_no_viewpunch,airblast_pushback_no_viewpunch
airblast_put_out_teammate_disabled,airblast_put_out_teammate_disabled
airblast_turn_projectile_to_ammo,airblast_turn_projectile_to_ammo
allow_halloween_offering,allow_halloween_offering
allowed_in_medieval_mode,allowed in medieval mode
alt_fire_teleport_to_spawn,alt fire teleport to spawn
alt-fire_disabled,alt-fire disabled
always_tradable,always tradable
